algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns
binaria,1000,inicio,27,9,22264
lineal,1000,inicio,28,181,40095
binaria,1000,inicio,28,9,22259
lineal,1000,inicio,29,181,30044
binaria,1000,inicio,29,9,22199
lineal,1000,centro,0,711,71929
binaria,1000,centro,0,9,37010
lineal,1000,centro,1,711,71985
binaria,1000,centro,1,9,22828
lineal,1000,centro,2,711,73056
binaria,1000,centro,2,9,23416
lineal,1000,centro,3,711,80920
binaria,1000,centro,3,9,22620
lineal,1000,centro,4,711,71067
binaria,1000,centro,4,9,22536
lineal,1000,centro,5,711,71323
binaria,1000,centro,5,9,22528
lineal,1000,centro,6,711,71142
binaria,1000,centro,6,9,22716
lineal,1000,centro,7,711,71710
binaria,1000,centro,7,9,22449
lineal,1000,centro,8,711,73405
binaria,1000,centro,8,9,22740
lineal,1000,centro,9,711,71468
binaria,1000,centro,9,9,22583
lineal,1000,centro,10,711,71152
binaria,1000,centro,10,9,22441
lineal,1000,centro,11,711,80232
binaria,1000,centro,11,9,22544
lineal,1000,centro,12,711,71189
binaria,1000,centro,12,9,22621
lineal,1000,centro,13,711,75690
binaria,1000,centro,13,9,22544
lineal,1000,centro,14,711,71607
binaria,1000,centro,14,9,22504
lineal,1000,centro,15,711,71435
binaria,1000,centro,15,9,22509
lineal,1000,centro,16,711,71074
binaria,1000,centro,16,9,22508
lineal,1000,centro,17,711,71517
binaria,1000,centro,17,9,22466
lineal,1000,centro,18,711,80306
binaria,1000,centro,18,9,22961
lineal,1000,centro,19,711,73786
binaria,1000,centro,19,9,22559
lineal,1000,centro,20,711,71455
binaria,1000,centro,20,9,22535
lineal,1000,centro,21,711,79104
binaria,1000,centro,21,9,22586
lineal,1000,centro,22,711,71000
binaria,1000,centro,22,9,22515
lineal,1000,centro,23,711,75388
binaria,1000,centro,23,9,22641
lineal,1000,centro,24,711,71351
binaria,1000,centro,24,9,22475
lineal,1000,centro,25,711,71392
binaria,1000,centro,25,9,22522
lineal,1000,centro,26,711,71316
binaria,1000,centro,26,9,22605
lineal,1000,centro,27,711,71760
binaria,1000,centro,27,9,22420
lineal,1000,centro,28,711,71955
binaria,1000,centro,28,9,24950
lineal,1000,centro,29,711,71943
binaria,1000,centro,29,9,22459
lineal,1000,final,0,480,52379
binaria,1000,final,0,10,23033
lineal,1000,final,1,480,52230
binaria,1000,final,1,10,22707
lineal,1000,final,2,480,59173
binaria,1000,final,2,10,22721
lineal,1000,final,3,480,52250
binaria,1000,final,3,10,22623
lineal,1000,final,4,480,52095
binaria,1000,final,4,10,26452
lineal,1000,final,5,480,52364
binaria,1000,final,5,10,22765
lineal,1000,final,6,480,52477
binaria,1000,final,6,10,22622
lineal,1000,final,7,480,52460
binaria,1000,final,7,10,22560
lineal,1000,final,8,480,52261
binaria,1000,final,8,10,22630
lineal,1000,final,9,480,52531
binaria,1000,final,9,10,22674
lineal,1000,final,10,480,52391
binaria,1000,final,10,10,22620
lineal,1000,final,11,480,58416
binaria,1000,final,11,10,23072
lineal,1000,final,12,480,53708
binaria,1000,final,12,10,22726
lineal,1000,final,13,480,52324
binaria,1000,final,13,10,22559
lineal,1000,final,14,480,53838
binaria,1000,final,14,10,30177
lineal,1000,final,15,480,52246
binaria,1000,final,15,10,22684
lineal,1000,final,16,480,52427
binaria,1000,final,16,10,22536
lineal,1000,final,17,480,52624
binaria,1000,final,17,10,28303
lineal,1000,final,18,480,53901
binaria,1000,final,18,10,22979
lineal,1000,final,19,480,52334
binaria,1000,final,19,10,22696
lineal,1000,final,20,480,52401
binaria,1000,final,20,10,22760
lineal,1000,final,21,480,52370
binaria,1000,final,21,10,22713
lineal,1000,final,22,480,52242
binaria,1000,final,22,10,22687
lineal,1000,final,23,480,52265
binaria,1000,final,23,10,22846
lineal,1000,final,24,480,52402
binaria,1000,final,24,10,22758
lineal,1000,final,25,480,52382
binaria,1000,final,25,10,22773
lineal,1000,final,26,480,52218
binaria,1000,final,26,10,22949
lineal,1000,final,27,480,52314
binaria,1000,final,27,10,29168
lineal,1000,final,28,480,52332
binaria,1000,final,28,10,22797
lineal,1000,final,29,480,52305
binaria,1000,final,29,10,22625
lineal,1000,ausente,0,1000,113176
binaria,1000,ausente,0,10,23200
lineal,1000,ausente,1,1000,95948
binaria,1000,ausente,1,10,22788
lineal,1000,ausente,2,1000,94810
binaria,1000,ausente,2,10,22851
lineal,1000,ausente,3,1000,95090
binaria,1000,ausente,3,10,22646
lineal,1000,ausente,4,1000,97749
